"As Of Date","Time Series","Value (millions)"
"2019-01-16","PDGSWOEXT","337122"
"2019-01-23","PDGSIDBEXT","184433"
"2019-01-23","PDGSWOEXT","334865"
"2019-01-30","PDGSIDBEXT","212811"
"2019-01-30","PDGSWOEXT","377366"
"2019-02-06","PDGSIDBEXT","232717"
"2019-02-06","PDGSWOEXT","439243"
"2019-02-13","PDGSIDBEXT","176969"
"2019-02-13","PDGSWOEXT","351296"
"2019-02-20","PDGSIDBEXT","172908"
"2019-02-20","PDGSWOEXT","330160"
"2019-02-27","PDGSIDBEXT","242707"
"2019-02-27","PDGSWOEXT","445673"
"2019-03-06","PDGSIDBEXT","235358"
"2019-03-06","PDGSWOEXT","421636"
"2019-03-13","PDGSIDBEXT","193151"
"2019-03-13","PDGSWOEXT","364752"
"2019-03-20","PDGSIDBEXT","163758"
"2019-03-20","PDGSWOEXT","320475"
"2019-03-27","PDGSIDBEXT","250741"
"2019-03-27","PDGSWOEXT","440585"
"2019-04-03","PDGSIDBEXT","230300"
"2019-04-03","PDGSWOEXT","442377"
"2019-04-10","PDGSIDBEXT","159475"
"2019-04-10","PDGSWOEXT","301242"
"2019-04-17","PDGSIDBEXT","163592"
"2019-04-17","PDGSWOEXT","326838"
"2019-04-24","PDGSIDBEXT","146696"
"2019-04-24","PDGSWOEXT","349293"
"2019-05-01","PDGSIDBEXT","189261"
"2019-05-01","PDGSWOEXT","369306"
"2019-05-08","PDGSIDBEXT","168785"
"2019-05-08","PDGSWOEXT","351059"
"2019-05-15","PDGSIDBEXT","193339"
"2019-05-15","PDGSWOEXT","380400"
"2019-05-22","PDGSIDBEXT","161564"
"2019-05-22","PDGSWOEXT","318979"
"2019-05-29","PDGSIDBEXT","234009"
"2019-05-29","PDGSWOEXT","447566"
"2019-06-05","PDGSIDBEXT","277079"
"2019-06-05","PDGSWOEXT","479326"
"2019-06-12","PDGSIDBEXT","228883"
"2019-06-12","PDGSWOEXT","389703"
"2019-06-19","PDGSIDBEXT","184473"
"2019-06-19","PDGSWOEXT","329121"
