"As Of Date","Time Series","Value (millions)"
"2019-05-15","PDFTD-USTET","78245"
"2019-05-22","PDFTR-USTET","82614"
"2019-05-22","PDFTD-USTET","79334"
"2019-05-29","PDFTR-USTET","118524"
"2019-05-29","PDFTD-USTET","121935"
"2019-06-05","PDFTR-USTET","134607"
"2019-06-05","PDFTD-USTET","130655"
"2019-06-12","PDFTR-USTET","156883"
"2019-06-12","PDFTD-USTET","148775"
"2019-06-19","PDFTR-USTET","135694"
"2019-06-19","PDFTD-USTET","138076"
"2019-06-26","PDFTR-USTET","114115"
"2019-06-26","PDFTD-USTET","114841"
"2019-07-03","PDFTR-USTET","102292"
"2019-07-03","PDFTD-USTET","98492"
"2019-07-10","PDFTR-USTET","115958"
"2019-07-10","PDFTD-USTET","112977"
"2019-07-17","PDFTR-USTET","110612"
"2019-07-17","PDFTD-USTET","110957"
"2019-07-24","PDFTR-USTET","82291"
"2019-07-24","PDFTD-USTET","79124"
"2019-07-31","PDFTR-USTET","91434"
"2019-07-31","PDFTD-USTET","91907"
"2019-08-07","PDFTR-USTET","117715"
"2019-08-07","PDFTD-USTET","112049"
"2019-08-14","PDFTR-USTET","139191"
"2019-08-14","PDFTD-USTET","142325"
"2019-08-21","PDFTR-USTET","123948"
"2019-08-21","PDFTD-USTET","117884"
"2019-08-28","PDFTR-USTET","89282"
"2019-08-28","PDFTD-USTET","88515"
"2019-09-04","PDFTR-USTET","175395"
"2019-09-04","PDFTD-USTET","190714"
"2019-09-11","PDFTR-USTET","125518"
"2019-09-11","PDFTD-USTET","117741"
"2019-09-18","PDFTR-USTET","120873"
"2019-09-18","PDFTD-USTET","120209"
"2019-09-25","PDFTR-USTET","109240"
"2019-09-25","PDFTD-USTET","115073"
"2019-10-02","PDFTR-USTET","111065"
"2019-10-02","PDFTD-USTET","107404"
"2019-10-09","PDFTR-USTET","75911"
"2019-10-09","PDFTD-USTET","76390"
"2019-10-16","PDFTR-USTET","70294"
"2019-10-16","PDFTD-USTET","70327"
"2019-10-23","PDFTR-USTET","86783"
"2019-10-23","PDFTD-USTET","84895"
"2019-10-30","PDFTR-USTET","73154"
"2019-10-30","PDFTD-USTET","70830"
"2019-11-06","PDFTR-USTET","83002"
"2019-11-06","PDFTD-USTET","72869"
"2019-11-13","PDFTR-USTET","84043"
"2019-11-13","PDFTD-USTET","74627"
"2019-11-20","PDFTR-USTET","99413"
"2019-11-20","PDFTD-USTET","95436"
"2019-11-27","PDFTR-USTET","106493"
"2019-11-27","PDFTD-USTET","105983"
"2019-12-04","PDFTR-USTET","135553"
"2019-12-04","PDFTD-USTET","137986"
"2019-12-11","PDFTR-USTET","74448"
"2019-12-11","PDFTD-USTET","68705"
"2019-12-18","PDFTR-USTET","87108"
"2019-12-18","PDFTD-USTET","82425"
"2019-12-25","PDFTR-USTET","63694"
"2019-12-25","PDFTD-USTET","59486"
"2020-01-01","PDFTR-USTET","64501"
"2020-01-01","PDFTD-USTET","69240"
"2020-01-08","PDFTR-USTET","61637"
"2020-01-08","PDFTD-USTET","60140"
"2020-01-15","PDFTR-USTET","80235"
"2020-01-15","PDFTD-USTET","76487"
"2020-01-22","PDFTR-USTET","63044"
"2020-01-22","PDFTD-USTET","67692"
"2020-01-29","PDFTR-USTET","75869"
"2020-01-29","PDFTD-USTET","68665"
"2020-02-05","PDFTR-USTET","104920"
"2020-02-05","PDFTD-USTET","96096"
"2020-02-12","PDFTR-USTET","67356"
"2020-02-12","PDFTD-USTET","62820"
"2020-02-19","PDFTR-USTET","90581"
"2020-02-19","PDFTD-USTET","80909"
"2020-02-26","PDFTR-USTET","77473"
"2020-02-26","PDFTD-USTET","62478"
"2020-03-04","PDFTR-USTET","121766"
"2020-03-04","PDFTD-USTET","106332"
"2020-03-11","PDFTR-USTET","215134"
"2020-03-11","PDFTD-USTET","191854"
"2020-03-18","PDFTR-USTET","309224"
"2020-03-18","PDFTD-USTET","256924"
"2020-03-25","PDFTR-USTET","271647"
"2020-03-25","PDFTD-USTET","192322"
"2020-04-01","PDFTR-USTET","257634"
"2020-04-01","PDFTD-USTET","210317"
"2020-04-08","PDFTR-USTET","211591"
"2020-04-08","PDFTD-USTET","179644"
"2020-04-15","PDFTR-USTET","159324"
"2020-04-15","PDFTD-USTET","136519"
"2020-04-22","PDFTR-USTET","138642"
"2020-04-22","PDFTD-USTET","122703"
"2020-04-29","PDFTR-USTET","124809"
"2020-04-29","PDFTD-USTET","109083"
"2020-05-06","PDFTR-USTET","141654"
"2020-05-06","PDFTD-USTET","114548"
"2020-05-13","PDFTR-USTET","115395"
"2020-05-13","PDFTD-USTET","97200"
"2020-05-20","PDFTR-USTET","94588"
"2020-05-20","PDFTD-USTET","86955"
